Candidate,Party,Criminal Cases,Education,Age,Total Assets,Constituency,Liabilities,Winner,Gender,Asset_Category
Prof. Borkar Pradip Daryav,RP(K),0,Post Graduate,49,2615000,Ramtek,500000,0,M,10L-1Cr
Sandip Sheshrao Gajbhiye,GMS,0,Others,36,1641000,Ramtek,140000,0,M,10L-1Cr
Seema Jeevan Ramteke,DESEP,0,12th Pass,36,200000,Ramtek,0,0,F,1L-10L
Tumane Krupal Balaji,SHS,0,12th Pass,43,3415312,Ramtek,6977192,0,M,10L-1Cr
Vikas Rajaram Damle,RPI(KH),0,Graduate,41,651460,Ramtek,0,0,M,1L-10L
Dr.Nilesh Narayan Rane,INC,1,Doctorate,28,30561862,Ratnagiri Sindhudurg,0,0,M,>1Cr
Ajay Alias Aaba Dada Jadhav,KKJHS,0,Others,28,719500,Ratnagiri Sindhudurg,16000,0,M,1L-10L
Parulekar Jayendra Shripad,BSP,0,Graduate Professional,43,14936360,Ratnagiri Sindhudurg,2114956,0,M,>1Cr
Rajesh Pusushottam Surve,RSPS,0,12th Pass,41,1133000,Ratnagiri Sindhudurg,0,0,M,10L-1Cr
Siraj Abdulla Kauchali,BBM,0,8th Pass,60,4130250,Ratnagiri Sindhudurg,700000,0,M,10L-1Cr
Suresh Prabhakar Prabhu,SHS,0,Graduate Professional,55,14650806,Ratnagiri Sindhudurg,4874508,0,M,>1Cr
Vilasrao Khanvilkar,ABHM,0,5th Pass,54,80100,Ratnagiri Sindhudurg,0,0,M,<1L
Haribhau Madhav Jawale,BJP,0,Graduate,55,7842881,Raver,629917,1,M,10L-1Cr
Bapu Sahebrao Sonawane,PRCP,0,10th Pass,30,0,Raver,0,0,M,
Marathe Bhimrao Parbat,KM,2,10th Pass,51,1926000,Raver,216525,0,M,10L-1Cr
Patil Suresh Chindhu,BSP,5,10th Pass,49,30620000,Raver,3399686,0,M,>1Cr
Shivaveer Dnyaneshwar Vitthal Amale Urph Amale Sarkar,SVRP,3,12th Pass,26,278000,Raver,0,0,M,1L-10L
Teli Shaikh Ismail Haji Hasan,BBM,0,10th Pass,57,500000,Raver,0,0,M,1L-10L
Pratik Prakashbapu Patil,INC,1,Others,36,22137000,Sangli,1358000,0,M,>1Cr
Ashok Dnyanu Mane(Bhau),STBP,0,Others,37,1000,Sangli,0,0,M,<1L
Mahadev Anna Waghamare,RSPS,0,Literate,65,281000,Sangli,161000,0,M,1L-10L
Manohar Balkrishna Khedkar,BBM,0,Graduate,59,12695500,Sangli,1028000,0,M,>1Cr
Patel M.Javed M. Yusuf,BSP,0,10th Pass,38,270000,Sangli,0,0,M,1L-10L
Bhonsle Shrimant Chh. Udyanraje Pratapsinh,NCP,14,Others,43,117253344,Satara,1800000,0,M,>1Cr
Bhausaheb Gangaram Wagh,RSPS,3,Literate,51,749039,Satara,12060,0,M,1L-10L
Chavan Prashant Vasant,BSP,0,Graduate Professional,34,126120,Satara,101149,0,M,1L-10L
Purushottam Bajirao Jadhav,SHS,0,10th Pass,45,87942614,Satara,7177361,0,M,>1Cr
Wakchoure Bhausaheb Rajaram,SHS,0,Post Graduate,59,17860515,Shirdi,2427069,1,M,>1Cr
Athawale Ramdas Bandu,RPI,2,12th Pass,52,17179813,Shirdi,0,0,M,>1Cr
Dhotre Suchit Chintamani,KM,0,10th Pass,25,6366300,Shirdi,1234902,0,M,10L-1Cr
Kacharu Nagu Waghmare,BSP,0,Graduate,60,1535500,Shirdi,0,0,M,10L-1Cr
Satish Balasaheb Palghadmal,PRCP,0,Post Graduate,26,0,Shirdi,0,0,M,
Adhalrao Shivaji Dattatray,SHS,4,Post Graduate,52,127113134,Shirur,16221275,0,M,>1Cr
Pallavi Mohan Harshe,PRCP,0,Others,28,0,Shirur,0,0,F,
Shelar Dnyanoba Shripati,RPPI,0,Literate,57,10000,Shirur,0,0,M,<1L
Suresh Mulchand Kankaria (Mama),RSPS,0,Null,57,2330000,Shirur,250000,0,M,10L-1Cr
Vilas Vithoba Lande,NCP,1,5th Pass,47,168343573,Shirur,61821809,0,M,>1Cr
Zagade Yashwant Sitaram,BSP,0,Graduate,35,14064959,Shirur,370000,0,M,>1Cr
Shinde Sushilkumar Sambhajirao,INC,0,Graduate Professional,68,86042099,Solapur,3700000,1,M,>1Cr
Adv. Bansode Sharad Maruti,BJP,0,Graduate Professional,41,23038727,Solapur,0,0,M,>1Cr
Adv. Kasabekar Shridhar Limbaji,RSPS,0,Graduate Professional,59,1022756,Solapur,9400,0,M,10L-1Cr
Gaikwad Pramod Ramchandra,BSP,3,12th Pass,48,1705000,Solapur,340000,0,M,10L-1Cr
Laxmikant Chandrakant Gaikwad,KKJHS,1,Graduate,37,191000,Solapur,0,0,M,1L-10L
Rajguru Narayan Yedu,BBM,0,10th Pass,60,804000,Solapur,0,0,M,1L-10L
Dr.Sanjeev Ganesh Naik,NCP,2,12th Pass,37,30415344,Thane,0,0,M,>1Cr
Avanindra Kumar Tripathi,BSP,0,Literate,28,5775000,Thane,0,0,M,10L-1Cr
Bernardshaw David Nadar,RP(K),1,Null,50,2403000,Thane,600000,0,M,10L-1Cr
Chugule Vijay Laxman,SHS,6,10th Pass,47,15181796,Thane,0,0,M,>1Cr
Jain Seema Mahendra,PRBP,0,12th Pass,37,1436995,Thane,0,0,F,10L-1Cr
Kamlakar Anand Tayde,BBM,0,10th Pass,40,820000,Thane,530000,0,M,1L-10L
"Mahesh Rathi ""Chanakya""",RVNP,0,Graduate,49,4927000,Thane,2800,0,M,10L-1Cr
Parag Hanumant Newalkar,KKJHS,0,10th Pass,32,181000,Thane,0,0,M,1L-10L
Pathan Javeed Kamil Khan,NBNP,0,12th Pass,28,105000,Thane,175000,0,M,1L-10L
Rajan Raje,MNS,0,Graduate Professional,51,15440238,Thane,6612,0,M,>1Cr
Singh Rajesh Munnilal,RSPS,0,10th Pass,33,645000,Thane,0,0,M,1L-10L
Datta Meghe,INC,0,Graduate,72,287739495,Wardha,70008871,1,M,>1Cr
Bhose Kailas Vishwasrao,GMS,0,Graduate,36,1070000,Wardha,150000,0,M,10L-1Cr
Diwate Ramesh Madhaorao,KM,0,Graduate,46,1615000,Wardha,0,0,M,10L-1Cr
Dr. Nitin Keshorao Chavan,PRBP,1,Null,46,1373500,Wardha,644000,0,M,10L-1Cr
